measure,sample,lags,controls,regressor,n_obs,sum_coef,joint_p
ppi,full_1959_2026,2,none,federal,238,0.1647,0.2046
ppi,full_1959_2026,2,none,ALL THREE (joint),238,,0.006
ppi,full_1959_2026,2,base,mortgage,238,0.2514,0.1509
ppi,full_1959_2026,2,base,consumer,238,0.0027,0.1943
ppi,full_1959_2026,2,base,federal,238,0.1125,0.5335
ppi,full_1959_2026,2,base,ALL THREE (joint),238,,0.0042
ppi,full_1959_2026,2,base+output,mortgage,238,0.2511,0.1446
ppi,full_1959_2026,2,base+output,consumer,238,-0.025,0.1155
ppi,full_1959_2026,2,base+output,federal,238,0.1283,0.2698
ppi,full_1959_2026,2,base+output,ALL THREE (joint),238,,0.0082
ppi,full_1959_2026,4,none,mortgage,236,0.2505,0.2922
ppi,full_1959_2026,4,none,consumer,236,-0.0576,0.0154
ppi,full_1959_2026,4,none,federal,236,0.0813,0.5091
ppi,full_1959_2026,4,none,ALL THREE (joint),236,,0.0013
ppi,full_1959_2026,4,base,mortgage,236,0.3371,0.0979
ppi,full_1959_2026,4,base,consumer,236,-0.0477,0.0172
ppi,full_1959_2026,4,base,federal,236,-0.0923,0.2292
ppi,full_1959_2026,4,base,ALL THREE (joint),236,,0.0008
ppi,full_1959_2026,4,base+output,mortgage,236,0.3344,0.1193
ppi,full_1959_2026,4,base+output,consumer,236,-0.0689,0.0128
ppi,full_1959_2026,4,base+output,federal,236,-0.1013,0.0198
ppi,full_1959_2026,4,base+output,ALL THREE (joint),236,,0.0016
ppi,post_1981_break,2,none,mortgage,175,0.1403,0.5161
ppi,post_1981_break,2,none,consumer,175,-0.0615,0.0958
ppi,post_1981_break,2,none,federal,175,0.1629,0.3375
ppi,post_1981_break,2,none,ALL THREE (joint),175,,0.0337
ppi,post_1981_break,2,base,mortgage,175,0.1602,0.4205
ppi,post_1981_break,2,base,consumer,175,-0.0586,0.0801
ppi,post_1981_break,2,base,federal,175,0.1241,0.5806
ppi,post_1981_break,2,base,ALL THREE (joint),175,,0.0399
ppi,post_1981_break,2,base+output,mortgage,175,0.1395,0.4731
ppi,post_1981_break,2,base+output,consumer,175,-0.1253,0.046
ppi,post_1981_break,2,base+output,federal,175,0.172,0.2075
ppi,post_1981_break,2,base+output,ALL THREE (joint),175,,0.0146
ppi,post_1981_break,4,none,mortgage,173,0.2243,0.3035
ppi,post_1981_break,4,none,consumer,173,-0.2324,0.0005
ppi,post_1981_break,4,none,federal,173,0.1201,0.4023
ppi,post_1981_break,4,none,ALL THREE (joint),173,,0.0006
ppi,post_1981_break,4,base,mortgage,173,0.2927,0.1168
ppi,post_1981_break,4,base,consumer,173,-0.1954,0.0006
ppi,post_1981_break,4,base,federal,173,-0.0293,0.3712
ppi,post_1981_break,4,base,ALL THREE (joint),173,,0.0015
ppi,post_1981_break,4,base+output,mortgage,173,0.2858,0.1038
ppi,post_1981_break,4,base+output,consumer,173,-0.2227,0.001
