quarter_end,beta_const,beta_d_rate_mortgage_lag1,beta_pce_real_g_lag1,beta_fed_debt_g_lag1,se_const,se_d_rate_mortgage_lag1,se_pce_real_g_lag1,se_fed_debt_g_lag1
1984-06-30,14.252256437034449,-0.4102315716173854,-0.02436475851981111,0.01291468819295646,0.9093769200241539,0.35455683001571753,0.027840765113818743,0.03774104877507786
1984-09-30,13.39579661114742,-0.4075494221573899,-0.024364758750736272,0.012728195599528796,0.9258289585232294,0.3565965270576114,0.027840764870123103,0.03764523989319323
1984-12-31,13.632932511734582,-0.4008531132768268,-0.02436475891810867,0.012958824962368838,0.9529098879694587,0.3588640686465084,0.02784076462910054,0.03751199970753873
1985-03-31,13.545306073520553,-0.3949349824066487,-0.024364759095504368,0.013044023945022614,1.0333348505860367,0.36105231548685446,0.02784076438653417,0.03735022190647428
1985-06-30,11.644390348752868,-0.38100501975091733,-0.02436475937038258,0.011950163108259339,0.9273050388272714,0.3638218271406796,0.027840764144218832,0.0373557819717511
1985-09-30,11.62676014530814,-0.37282941399163805,-0.024364759512733997,0.011474613150628268,0.9237707505353914,0.3662476276617449,0.02784076390525714,0.03728374817750669
1985-12-31,11.444245925815023,-0.3644138397738133,-0.024364759661379645,0.01092895024332162,0.9300535721481019,0.36805304776378156,0.027840763664239876,0.03721095059228315
1986-03-31,10.359543883230332,-0.35295872449894716,-0.02436475988093657,0.010101474103626048,1.0545205105680293,0.3695809991690605,0.027840763431031267,0.03705203971999991
1986-06-30,10.678924178007865,-0.3445123641862514,-0.02436476008780413,0.010335471960794028,0.9223589306305741,0.3704303009717235,0.027840763197037426,0.03724059101103508
1986-09-30,11.483523830357969,-0.3389745958133401,-0.024364760277030006,0.010686409434803933,0.9121902856335267,0.3722654972937698,0.02784076296243847,0.037340072725619074
1986-12-31,11.052777412998415,-0.3312565076721189,-0.02436476052217524,0.010523793981525743,0.8980058675241108,0.37352626161260105,0.027840762727855493,0.037450038017432345
1987-03-31,8.960752274419253,-0.3234449139414329,-0.024364760888963416,0.009753988355661186,0.9115439948485418,0.3743162240981216,0.027840762500153157,0.03753144699167806
1987-06-30,9.259522186487368,-0.32252505470982656,-0.024364761194798773,0.010127934427398037,0.8091808638250408,0.3750303170661656,0.027840762271677467,0.037701142845179225
1987-09-30,9.348587858319213,-0.32098130843540423,-0.02436476150146203,0.010467124733478647,0.8619156308403543,0.3760675459239987,0.027840762042791935,0.03781909062823722
1987-12-31,8.81141258064339,-0.32345837087929946,-0.024364761843553684,0.01060687094684135,0.8185117929721125,0.37957058653595377,0.027840761818387287,0.037947329453682295
1988-03-31,9.673809068279189,-0.3249226076252386,-0.02436476211933858,0.0110320479340099,0.8573670717474388,0.3825637995269414,0.02784076159509391,0.038034203122147725
1988-06-30,9.685491667030556,-0.32808863446779934,-0.0243647624026294,0.011121253945335955,0.8459316176311223,0.3854449052174334,0.027840761370971658,0.038170097189138406
1988-09-30,9.093657937180614,-0.3287440094374211,-0.024364762730073625,0.011051612721303165,0.8252546450992098,0.3893850409216254,0.027840761154017353,0.0382813856876612
1988-12-31,9.374567173656835,-0.3280724891636796,-0.024364763030693223,0.011223549980955455,0.8218519957678734,0.3931650793306854,0.027840760935942357,0.03837827724134369
1989-03-31,8.618548288552708,-0.3281445120686519,-0.02436476336963598,0.011140897541649562,0.849233925008399,0.39657632351728017,0.02784076071760468,0.03844556377749242
1989-06-30,8.253987594938213,-0.32839336381715883,-0.02436476369009148,0.011199408907318938,0.8166558212203899,0.3996454765039567,0.0278407605014045,0.038546553103153816
1989-09-30,7.224336252877833,-0.3300674131737804,-0.024364764023403748,0.011097290462836867,0.8123978019346499,0.4027468430807254,0.027840760284571792,0.03861964914911824
1989-12-31,7.366887613092797,-0.3328677977218408,-0.02436476433391741,0.011284732316537737,0.8355258360605657,0.40551421936672566,0.027840760067213637,0.03867371066461202
1990-03-31,7.270519793475976,-0.3348834164015884,-0.02436476465404578,0.011415857252668353,0.872814017935095,0.4085542265223174,0.02784075985131079,0.03869458350570005
1990-06-30,5.681743501030686,-0.33538702293102807,-0.024364765001208717,0.010977779769940979,0.8853841608329243,0.4112787096270839,0.02784075963490893,0.03873499722325192
1990-09-30,4.543467099770537,-0.33514261192941774,-0.02436476533260084,0.010711873170114704,0.8704797450571825,0.4138971507644421,0.02784075942009575,0.03877947037853193
1990-12-31,3.23619052876818,-0.3350680621262232,-0.024364765666140153,0.01038790223617906,0.8706721029544123,0.41625706737724943,0.02784075920510804,0.03880397287243549
1991-03-31,1.894456984589667,-0.33495375418328344,-0.024364766000248582,0.010052709776043927,0.9120196301646784,0.41837402902301873,0.027840758990784156,0.03879339054550638
1991-06-30,1.8691375040601863,-0.3358291407345051,-0.02436476637634878,0.01032598263212588,0.8736445938318044,0.4201414719948204,0.027840758778977993,0.03883866273011176
1991-09-30,0.261425093751114,-0.3329128826440215,-0.024364766727547074,0.010060015720790468,0.8380437526481466,0.4218971809374178,0.02784075856797106,0.038864625400997055
1991-12-31,0.9672149592699428,-0.3297361921633964,-0.02436476699898704,0.0103517144385184,0.8941977883748511,0.4233479378669459,0.027840758359281473,0.038840046179105414
1992-03-31,1.9858025923632203,-0.3269669529655183,-0.024364767263928833,0.01077162126126378,0.9039005108988093,0.42447805759278473,0.02784075815081438,0.03884256479470908
1992-06-30,1.680353471451801,-0.3201627812026689,-0.024364767526102685,0.010630662768901244,0.8413974431297551,0.4258034515251212,0.027840757942549355,0.03888268231443897
1992-09-30,2.4573338135865934,-0.31336731299395565,-0.024364767704403285,0.010749721188649253,0.8361522416414606,0.4268172431318602,0.02784075774422645,0.03888220610202754
1992-12-31,2.6225422011373976,-0.30653741101052373,-0.024364767899992267,0.010682353033307664,0.832750515700063,0.4275166190180851,0.027840757544550163,0.038882939115673275
1993-03-31,3.1334607929115696,-0.3009000313595479,-0.024364768080184493,0.010694624198785956,0.8290819094579056,0.4287292476087861,0.02784075734514872,0.03885463395152813
1993-06-30,4.4634259280230655,-0.29451587406129126,-0.02436476821984098,0.01096589569936873,0.7990097711838156,0.42984587879981045,0.027840757148101,0.038851617516633866
