quarter_end,beta_mortgage_m2_less_base_market_lean,se_mortgage_m2_less_base_market_lean,beta_mortgage_m2_less_base_market_controlled,se_mortgage_m2_less_base_market_controlled,beta_mortgage_base_market_lean,se_mortgage_base_market_lean,beta_mortgage_base_market_controlled,se_mortgage_base_market_controlled,beta_mortgage_m2_less_base_implied_lean,se_mortgage_m2_less_base_implied_lean,beta_mortgage_m2_less_base_implied_controlled,se_mortgage_m2_less_base_implied_controlled,beta_mortgage_base_implied_lean,se_mortgage_base_implied_lean,beta_mortgage_base_implied_controlled,se_mortgage_base_implied_controlled,beta_consumer_m2_less_base_market_lean,se_consumer_m2_less_base_market_lean,beta_consumer_m2_less_base_market_controlled,se_consumer_m2_less_base_market_controlled,beta_consumer_base_market_lean,se_consumer_base_market_lean,beta_consumer_base_market_controlled,se_consumer_base_market_controlled,beta_consumer_m2_less_base_implied_lean,se_consumer_m2_less_base_implied_lean,beta_consumer_m2_less_base_implied_controlled,se_consumer_m2_less_base_implied_controlled,beta_consumer_base_implied_lean,se_consumer_base_implied_lean,beta_consumer_base_implied_controlled,se_consumer_base_implied_controlled,beta_business_m2_less_base_market_lean,se_business_m2_less_base_market_lean,beta_business_m2_less_base_market_controlled,se_business_m2_less_base_market_controlled,beta_business_base_market_lean,se_business_base_market_lean,beta_business_base_market_controlled,se_business_base_market_controlled,beta_business_m2_less_base_implied_lean,se_business_m2_less_base_implied_lean,beta_business_m2_less_base_implied_controlled,se_business_m2_less_base_implied_controlled,beta_business_base_implied_lean,se_business_base_implied_lean,beta_business_base_implied_controlled,se_business_base_implied_controlled
1981-12-31,-0.00011385448492928774,0.028110099236822318,0.00011740541491526198,0.02945773505619492,0.020644943631233897,0.015388965547520533,0.02497837819502717,0.019405275531518752,-0.00011385448492928774,0.028110099236822318,0.00011740541491526198,0.02945773505619492,0.020644943631233897,0.015388965547520533,0.02497837819502717,0.019405275531518752,0.07078769036952617,0.046699124400999804,0.06874487772711686,0.048761244813524125,-0.010371710059912477,0.011624094803651772,-0.012372658130773777,0.012379096111791544,0.0889794951737698,0.04229841430246708,0.08742706576912844,0.04439027288995621,-0.012007144705454019,0.01117610821349582,-0.015624415834097273,0.011880990537818407,0.030020865963509266,0.13443109393488717,0.005215710065700485,0.13446721729322436,-0.007539290952647682,0.011506139079529118,0.011849494514075465,0.041017409042073336,0.022313678278972397,0.12643168103595842,-0.002158060785754628,0.12706942078772734,-0.0003169115017459534,0.010753873246892507,0.01967943570018453,0.03146686125507233
1982-03-31,-0.00011385444068742756,0.028110098874529865,0.00011740542006278155,0.029457734687704924,0.020498217646932063,0.015325656898578274,0.024670402610665495,0.019319683606484124,-0.00011385444068742756,0.028110098874529865,0.00011740542006278155,0.029457734687704924,0.020498217646932063,0.015325656898578274,0.024670402610665495,0.019319683606484124,0.07078769036161354,0.046699124198587356,0.06874487772706737,0.048761244741118544,-0.010371710425031593,0.011624093805868752,-0.012372658453130202,0.012379095369874879,0.0889794951893585,0.042298414078713854,0.08742706577198735,0.044390272743283755,-0.01200714508576519,0.011176107440153862,-0.015624416111940237,0.011880989565153153,0.027733419208126144,0.13281154556061409,0.0042264494451564535,0.1330074968877053,-0.007539291106007909,0.011506138491175136,0.01147753638212356,0.04093957105126268,0.020376779942826134,0.12533323296199475,-0.003225414268090282,0.12606428356221192,-0.0003169115577185827,0.010753872817805314,0.019486853239129846,0.03137083321791671
1982-06-30,-0.00011385443987188548,0.02811009851612265,0.00011740539223580471,0.02945773432419424,0.020346940797544927,0.01526366418016876,0.024358192462669518,0.019238372711214518,-0.00011385443987188548,0.02811009851612265,0.00011740539223580471,0.02945773432419424,0.020346940797544927,0.01526366418016876,0.024358192462669518,0.019238372711214518,0.07078769032120992,0.04669912399913334,0.06874487771447498,0.04876124466967566,-0.010371710846941266,0.011624092811788877,-0.012372658821459185,0.01237909462946731,0.08897949515860949,0.04229841385732138,0.08742706574507847,0.04439027259808326,-0.012007145523577185,0.011176106670897397,-0.015624416460991266,0.011880988595661094,0.024792545854381898,0.13144322150625065,0.00237465778548665,0.13177367617317,-0.0075392912722670145,0.011506137905902342,0.011046740851984267,0.040900051038172555,0.01792247395200132,0.12436043307702514,-0.004959164909208086,0.12518536693217538,-0.00031691162098031016,0.010753872390738,0.019293068904532393,0.03128340537285142
1982-09-30,-0.0001138544154467569,0.028110098155878206,0.00011740538387427276,0.029457733958545868,0.02019532869485957,0.015203178435399015,0.02404674295059451,0.019161958082049377,-0.0001138544154467569,0.028110098155878206,0.00011740538387427276,0.029457733958545868,0.02019532869485957,0.015203178435399015,0.02404674295059451,0.019161958082049377,0.07078769028016627,0.046699123797656734,0.06874487770197632,0.048761244597438906,-0.010371711276326863,0.011624091821701125,-0.012372659196585098,0.012379093892272253,0.08897949510623378,0.04229841363530053,0.08742706570526063,0.04439027245234791,-0.012007145946533175,0.01117610590601255,-0.01562441679383854,0.011880987631292665,0.019644116770374268,0.12977135207845797,-0.0012738244429171056,0.13029693045535629,-0.007539291418297624,0.011506137324477307,0.010771761692648681,0.0409006662382662,0.013885209380023772,0.12314292302111439,-0.007966800231617336,0.12410533385337837,-0.0003169116693950806,0.010753871965896071,0.019142714736916894,0.031205124596073382
1982-12-31,-0.00011385409006395286,0.02811009779312205,0.00011740566171086417,0.029457733590720007,0.02010594948118427,0.01514356043021073,0.023867209355255985,0.01908935315807189,-0.00011385409006395286,0.02811009779312205,0.00011740566171086417,0.029457733590720007,0.02010594948118427,0.01514356043021073,0.023867209355255985,0.01908935315807189,0.07078769028720744,0.04669912359574551,0.06874487770613902,0.04876124452559389,-0.01037171161996589,0.011624090834425319,-0.012372659512476443,0.012379093158526774,0.08897949511398436,0.04229841341216749,0.08742706570128458,0.04439027230680911,-0.012007146293159219,0.011176105144109846,-0.015624417044253816,0.01188098667163366,0.013209560395122666,0.12759547097110843,-0.005387535566790006,0.12841541861529546,-0.00753929157981321,0.01150613674528844,0.010620450815032512,0.040923292276394636,0.008960129870960162,0.1215612777008003,-0.011178911270524599,0.12272847834122788,-0.0003169117268884119,0.010753871542425754,0.019038087121285914,0.03113268592006127
1983-03-31,-0.00011385384431994439,0.028110097427400248,0.0001174058887290978,0.029457733219205234,0.020010783766113448,0.015083197684501235,0.02367970393116114,0.01901450158257429,-0.00011385384431994439,0.028110097427400248,0.0001174058887290978,0.029457733219205234,0.020010783766113448,0.015083197684501235,0.02367970393116114,0.01901450158257429,0.07078769029299588,0.04669912339230418,0.06874487771079447,0.048761244452661244,-0.010371711961969989,0.011624089846632806,-0.012372659824799966,0.012379092423870634,0.08897949512296466,0.042298413186526024,0.08742706570056706,0.044390272158819966,-0.012007146636451438,0.011176104381918692,-0.01562441728665426,0.011880985711090699,0.016637963791689483,0.12461646607830734,-0.0018038237347226677,0.1258799596018472,-0.007539291691253111,0.011506136165898646,0.010646362211449312,0.04091869858727738,0.011438494729117898,0.11931326519542738,-0.008494065389354561,0.1207942925806305,-0.0003169117518056243,0.010753871118952736,0.01898167849216345,0.0310559316531857
1983-06-30,-0.0001138533047754936,0.028110097051790517,0.00011740640018709225,0.029457732836972998,0.0199820500839272,0.015024947644361285,0.023623148770970985,0.01894461548201542,-0.0001138533047754936,0.028110097051790517,0.00011740640018709225,0.029457732836972998,0.0199820500839272,0.015024947644361285,0.023623148770970985,0.01894461548201542,0.07078769034460426,0.04669912318503442,0.06874487773308252,0.048761244378169526,-0.010371712205686362,0.011624088865528872,-0.012372660057227978,0.012379091695420974,0.08897949518210543,0.0422984129580974,0.08742706573324983,0.04439027200876969,-0.012007146905148385,0.011176103624425114,-0.01562441743425207,0.011880984757833817,0.015686016005701554,0.12041488219092732,-0.0014126577804125006,0.12233560472803795,-0.007539291873109673,0.011506135592163253,0.01033352550377764,0.04095666756086637,0.01059908132020819,0.11649317260053446,-0.008429234819418307,0.11839574188414777,-0.0003169118192918319,0.010753870697665476,0.018814946074310678,0.030988930882919076
1983-09-30,-0.0001138530869024823,0.028110096735733992,0.0001174065089993917,0.029457732525344203,0.01996753197553745,0.014967386331276205,0.023605995579811384,0.018877045149221602,-0.0001138530869024823,0.028110096735733992,0.0001174065089993917,0.029457732525344203,0.01996753197553745,0.014967386331276205,0.023605995579811384,0.018877045149221602,0.07078769049171402,0.04669912301379104,0.06874487778819677,0.04876124431799025,-0.010371712466679967,0.011624087887630238,-0.01237266030188014,0.012379090969795592,0.08897949531667189,0.042298412772193476,0.08742706580843151,0.044390271887489015,-0.01200714717335547,0.011176102869536759,-0.015624417579666278,0.011880983808095756,0.023506463408714727,0.12424105132860301,0.005598465384475519,0.12550522485363694,-0.007539292079639666,0.011506135020656482,0.009888441745420107,0.04101219089210999,0.016250048696372088,0.11934230702728062,-0.003371225669114416,0.12078565264231142,-0.00031691190210701714,0.010753870277678877,0.01861254538557886,0.030926142432134856
1983-12-31,-0.00011385294486454534,0.02811009641481272,0.00011740657321641652,0.029457732207312386,0.019936699708372363,0.01491046827525579,0.023573869380344704,0.018811114133041127,-0.00011385294486454534,0.02811009641481272,0.00011740657321641652,0.029457732207312386,0.019936699708372363,0.01491046827525579,0.023573869380344704,0.018811114133041127,0.07078769064057554,0.04669912283860281,0.0687448778448558,0.04876124425592114,-0.010371712715061043,0.011624086913700949,-0.012372660529276703,0.01237909024696639,0.08897949544935144,0.04229841258268071,0.0874270658838565,0.04439027176318018,-0.012007147436040512,0.011176102117271127,-0.015624417710305726,0.011880982861642271,0.030806205342509503,0.12696508847815743,0.01202320768217309,0.12778375674199327,-0.007539292292957141,0.01150613445156372,0.009301836844248512,0.04107581914162233,0.021625579035773404,0.12142696894218345,0.0013280226968815426,0.122545919467461,-0.0003169119875818284,0.010753869859113864,0.018377201818984352,0.030865725556699242
1984-03-31,-0.00011385283559137843,0.028110096093221553,0.00011740661366617822,0.02945773188813749,0.019903252800164424,0.014852695017440316,0.023537983582600067,0.018742920117551097,-0.00011385283559137843,0.028110096093221553,0.00011740661366617822,0.02945773188813749,0.019903252800164424,0.014852695017440316,0.023537983582600067,0.018742920117551097,0.07078769074494871,0.04669912266156161,0.06874487788532468,0.04876124419310484,-0.010371712991108353,0.0116240859393574,-0.012372660778292688,0.012379089523852268,0.08897949552059083,0.04229841239084024,0.0874270659205166,0.04439027163722881,-0.012007147725150689,0.011176101364676824,-0.01562441787353496,0.011880981914861848,0.04067268694324008,0.12898405991431872,0.020511691322841467,0.12949438428071644,-0.0075392924918423945,0.011506133882062966,0.00878381256154923,0.04111032566991387,0.028878732989344943,0.123003777722431,0.007540824694446078,0.1238925796993501,-0.00031691206403996336,0.010753869440332247,0.01815771637956372,0.03080028595675071
