window_end,cpi,pce,ppi,gdpdef
1987-12-31,0.8582461210424781,0.1266884032705959,0.8672672401365582,0.6177311158258181
1988-03-31,0.7999569896061591,0.05146148467471999,0.8026158518676233,0.6406479137450931
1988-06-30,0.8271250635920564,0.12693441766671693,0.8854278104830375,0.6860166274965585
1988-09-30,0.8605026640497664,0.12652311796608087,0.8818433122540734,0.8624576996786226
1988-12-31,0.8346919948224683,0.11955920277885483,0.8709218586978871,0.8709879276703082
1989-03-31,0.8907506861547545,0.12277824602414085,0.893564945273799,0.7998634669168745
1989-06-30,0.9229505962438633,0.21491357830966587,0.9282427871883911,0.8622203249635786
1989-09-30,0.8955963915422581,0.12380211693154272,0.8305520572923806,0.9430458370174218
1989-12-31,0.894886839930246,0.11701042988686056,0.8259716139786615,0.937976879018684
1990-03-31,0.8749821268604561,0.10156589488727358,0.8320450954574887,0.9218001390621574
1990-06-30,0.8002293540992895,0.09978593955305795,0.7944836593036508,0.9552396476169716
1990-09-30,0.9010762037987359,0.1347574464610832,0.7206405411723509,0.9733713554506506
1990-12-31,0.9125716666398298,0.07657574506532362,0.7599824397433023,0.8539312278119986
1991-03-31,0.9231622428958306,0.19093484543437014,0.8849913258249,0.7879368085901466
1991-06-30,0.8290189151662409,0.12014850016380081,0.8835296785191151,0.8242221681547326
1991-09-30,0.7047052764208914,0.09374198970996891,0.710812514592805,0.8513717389640214
1991-12-31,0.753702913944394,0.21224515383502943,0.8346845884602276,0.6510052038252325
1992-03-31,0.817584440124183,0.2516424019017962,0.8999549989459593,0.6250407413594524
1992-06-30,0.8029716477071707,0.20327112219145088,0.9781683791866925,0.5980387504133635
1992-09-30,0.79642921201552,0.19348463069258215,0.9671880358917377,0.5829240292192883
1992-12-31,0.8204384250493588,0.2470606947136812,0.95509867221164,0.5205487085636051
1993-03-31,0.7831816746098357,0.3148262320185625,0.9630222709841231,0.552264725807941
1993-06-30,0.7665764969252395,0.12273087926021464,0.972723493323663,0.23715933471648232
1993-09-30,0.6556172628785257,0.11895322573387276,0.9609297242663788,0.1753969259541608
1993-12-31,0.7641059338955473,0.12249779460469504,0.952134674915407,0.1800621785309025
1994-03-31,0.866520684003917,0.14770584053916982,0.9438787838614504,0.13608200863718925
1994-06-30,0.779658215656521,0.11547943489967985,0.9444028459316851,0.03432766902883268
1994-09-30,0.8093416177307059,0.15156704197829923,0.9627246455793546,0.05718655686246542
1994-12-31,0.7996772399993716,0.08183454970046738,0.9519323001809136,0.025985604613838757
1995-03-31,0.8370709415990653,0.09249123838361768,0.9852426553083616,0.08374653898338284
1995-06-30,0.5935116557568376,0.11310480574587822,0.9868066913410201,0.061607734981791534
1995-09-30,0.45590933744508455,0.116548425425757,0.9869759739734263,0.0919254333292546
1995-12-31,0.4397677979132739,0.10265802381512076,0.9880672222823624,0.12002827614271393
1996-03-31,0.42306326947937944,0.10778008057177568,0.9902050221792491,0.13273426783235193
1996-06-30,0.7126839140535899,0.11759692259942225,0.9654915288152581,0.13728174541053617
1996-09-30,0.9031081097019729,0.0798028557844524,0.9477545459248359,0.19731480922524844
1996-12-31,0.6331955060269203,0.05025679857342288,0.9566139014565432,0.2423877861629551
1997-03-31,0.41992969529799895,0.061012127420248766,0.9705180013675536,0.1664694667782599
1997-06-30,0.6011103955727932,0.07214822654344731,0.9207307988981208,0.45094558874857715
1997-09-30,0.5819523453990925,0.11663923166227408,0.9324514172718508,0.7865473437379542
1997-12-31,0.6072195100782636,0.2609746320811478,0.9278477498679358,0.8604266259499214
1998-03-31,0.7668823624139987,0.5598855165648582,0.6969037579017732,0.9639842668774355
1998-06-30,0.765459652614868,0.5440380006263834,0.6123882575298505,0.9708358616525534
1998-09-30,0.780098913485636,0.5701980547378072,0.6174441692582276,0.962222115721064
1998-12-31,0.780607881966617,0.5899229132886235,0.6104519660228397,0.9085501503491323
1999-03-31,0.8039876320336032,0.5304401238234964,0.6322184929054326,0.7759052078688846
1999-06-30,0.7982521782778637,0.4287429619867692,0.7482458560023858,0.7167909157725251
1999-09-30,0.5711933430990268,0.44505119206358024,0.4972496363148341,0.6203912054713056
1999-12-31,0.6326135868158849,0.40878232072011655,0.579939197857744,0.6280834667332648
2000-03-31,0.5100014136576547,0.40041708813729837,0.5856641357096202,0.6089276710412541
2000-06-30,0.1782127250517124,0.13998973591763092,0.4955509475787241,0.6890501641645944
2000-09-30,0.1801200161762022,0.15525456617841457,0.5933072925304212,0.7394650026808235
2000-12-31,0.2957602376349996,0.24223679273230825,0.566730224588013,0.797199367382181
2001-03-31,0.19160157151375248,0.23868493603548624,0.5469354300828451,0.885265950278958
2001-06-30,0.22292679746811703,0.2621633930480989,0.6205395022688771,0.9478273524728811
2001-09-30,0.388999146068327,0.6106163326636964,0.4238053922459175,0.9949031966996837
2001-12-31,0.38861146838530014,0.7146445642591248,0.5374225201309164,0.9963943865138668
2002-03-31,0.26082616881238474,0.6228187889644603,0.38896448441406606,0.9976183926552241
2002-06-30,0.07632667288726463,0.17074819870179994,0.2052416713898241,0.9167185341597073
